,company,username,esg_company,verified
1063,KWG Group Holdings,Nomalee Group Holdings,KWG Property Holding Limited,"12 Ruby Close, Sandton, Gauteng"
1064,Kyocera,kyoceramobile,KYOCERA CORPORATION,Kyocera Mobile
1065,Kyushu Electric Power,#kyushuelectricpower,Kyushu Electric Power Company Inc,18 posts
1066,Victoria's Secret,victoriassecret,L Brands,Verified
1067,L Brands,#lbrands,L Brands,"3,675 posts"
1068,L.L. Bean,llbean,"L.L. Bean, Inc.",Verified
1069,L3Harris Technologies,l3harristech,L3Harris Technologies Inc,L3Harris Technologies
1070,LabCorp,Not Verified,Laboratory Corporation of America Holdings,Not Verified
1071,LafargeHolcim,lafargeholcim,LafargeHolcim Ltd,LafargeHolcim
1072,Lam Research,lam_research,Lam Research Corporation,Lam Research
1073,Lamb Weston Holdings,Lamb Weston,Lamb Weston,"599 S Rivershore Ln, Eagle, ID"
1074,LAND O'LAKES,landolakesinc,Land O'Lakes,Verified
1075,LARGAN Precision,Largan Precision Co.Ltd.,Largan Precision Co. Ltd.,"no.11 jingke rd. nantun district,taichung city taiwan"
1076,Larsen & Toubro,lti_global,Larsen & Toubro,LTI (Larsen & Toubro Infotech)
1077,Las Vegas Sands,las_vegas_sands,"Las Vegas Sands, Inc.",Las Vegas Sands
1078,Lear,leariellesimone,Lear Corporation,Arielle Simone
1079,LEG Immobilien AG,GAG Immobilien AG,LEG Immobilien,"Straße des 17. Juni 4, Köln, Germany"
1080,Legal & General Group,Not Verified,Legal & General Group PLC,Not Verified
1081,Legend Holding,legendholdingsltd,Legend Corporation Ltd,Legend holdings Ltd
1082,Lego,lego,LEGO,Verified
1083,Legrand,legrandvoyage44,Legrand,Legrandvoyage44
1084,Leidos,leidosinc,Leidos Holdings Inc,Leidos
1085,Lennar,#lennarhomes,Lennar Corporation,"45,884 posts"
1086,Lenovo Group,wonfangroup,Lenovo Group Ltd.,Lenovo group
1087,Leonardo,leonardodicaprio,Leonardo S.p.A,Verified
1088,Levi's,levis,Levi Strauss & Co.,Verified
1089,LG Chem,lghomebattery_us,LG Chem Ltd,LG Chem Home Battery - US
1090,LG Group,lg_bahrain,LG Corp.,LG Bahrain AJM Kooheji Group
1091,LG Display,#lgdisplay,"LG Display Co., Ltd.","16,965 posts"
1092,LG Electronics,lgelectronicsca,LG Electronics Inc.,Verified
1093,LG Household & Health Care,lghouseholdsg,"LG Household & Health Care, Ltd.",LG Household & Health Care SG
1094,Liberbank,liberbank,"Liberbank, S.A.",Verified
1095,Liberty Global,libertyglobal,"Liberty Global, Inc.",Liberty Global
1096,LIBERTY MUTUAL INSURANCE GROUP,libertymutual,Liberty Mutual Group,Verified
1097,LIC,liverpoolfc,"LIC CO.,LTD.",Verified
1098,Lidl,lidlus,Lidl Dienstleistung GmbH & Co KG (Lidl),Verified
1099,Lincoln National,lincoln_nationalpark,Lincoln National Corp.,lincoln National Park 🌊
1100,Linde,lindseygrahamsc,LINDE PUBLIC LIMITED COMPANY,Verified
1101,Lindt & Sprungli,lindormoment,Lindt & Sprungli,Lindt & Sprungli Japan
1102,Link REIT,linkreithk,Link Real Estate Investment Trust,LINK REIT 領展
1103,LinkedIn,linkedin,LinkedIn Corp.,Verified
1104,LITHIA MOTORS,lithiamotors,"Lithia Motors, Inc.",Lithia Motors
1105,Live Nation Entertainment,livenationentertainment,"Live Nation, Inc.",live nation entertainment gh
1106,Lixil Group,Not Verified,LIXIL Group Corp.,Not Verified
1107,LKQ,lkqcorp,LKQ Corporation,LKQ Corporation
1108,Lloyds Banking Group,lloydsbankinggroup,Lloyds TSB Group Plc,Verified
1109,Lockheed Martin,lockheedmartin,Lockheed Martin Corporation,Verified
1110,Loews,loewsmiami,Loews Corporation,Loews Miami Beach Hotel
1111,Logan Property Holdings,OSK Property,Logan Property Holdings Co Ltd,"Jalan Ampang, Kuala Lumpur, Malaysia"
1112,London Stock Exchange,#londonstockexchange,London Stock Exchange,"18,076 posts"
1113,Longfor Group Holdings,Odeh Holdings Group Inc.,Longfor Properties Company Limited,"2512 South Memorial Dr., Greenville, North Carolina"
1114,Longi Green Energy Technology,Keheng New Energy Technology,LONGi Green Energy Technology Co Ltd,"Lang kou Industrial Park, Long hua District, 广东省 深圳市"
1115,Lonza Group,lonzagroup,Lonza Inc,Lonza Group
1116,L'Oréal,lorealparis,L'Oreal,Verified
1117,Lotte Chemical,#lottechemical,Lotte,474 posts
1118,Lotte Shopping,lotteshopping,"Lotte Shopping Co., Ltd.",Verified
1119,Lowe's,loweshomeimprovement,"Lowe's Companies, Inc.",Verified
1120,LT Group,lt.group,"LT GROUP, INC.",LT Group
1121,Luzhou Lao Jiao,#luzhoulaojiao,Lu Zhou Lao Jiao Co.Ltd,778 posts
1122,LukOil,lukoil,Lukoil Holdings,Verified
1123,Lululemon Athletica,honolululemons,lululemon athletica,lululemon athletica Ala Moana Center
1124,Lundbergs,lundbergs,Lundbergforetagen AB,Sandra Lundberg
1125,Lundin Energy,lundinenergy,Lundin Petroleum AB,Lundin Energy
1126,Luxshare Precision Industry,#luxshareprecisionindustry,Luxshare Precision Industry Co Ltd,1 post
1127,Luzerner Kantonalbank,luzernerkb,Luzerner Kantonalbank,Luzerner Kantonalbank
1128,Louis Vuitton,louisvuitton,LVMH,Verified
1129,Lyft,lyft,Lyft Inc,Verified
1130,M&G,maresmguia,M&G PLC,Mares (M&Guia)
1131,M&T Bank,mandt_bank,M&T Bank Corporation,M&T Bank
1132,Macquarie Group,macquariegroup,Macquarie Group,Verified
1133,Macy's,macys,"Macy's, Inc.",Verified
1134,Magazine Luiza,magazineluiza,Magazine Luiza S.A.,Verified
1135,Magna International,magna_int,Magna International Inc.,Magna International
1136,Magnit,magnitudestraightedge,Magnit Ojsc,Magnitude XXX
1137,Magnitogorsk Iron & Steel,Win Iron & Steel,Magnitogorskiy metallurg. kombinat OAO,"No. (172/173/174) Mawlamyine Street, Industrial Zone 1, South Dagon, Dagon, Yangon, Burma"
1138,Mahindra & Mahindra,mahindrathar,Mahindra & Mahindra Ltd,Verified
1139,Makita,makitatools,MAKITA CORPORATION,Verified
1140,Maybank,maybankid,Malayan Banking Bhd,Verified
1141,Manpower,manpower_dc,ManpowerGroup,Man Power DC LLC
1142,Manulife,manulife,Manulife Financial Corporation,Verified
1143,Marathon Oil,marathonoilcorp,Marathon Oil Corporation,Marathon Oil
1144,Marathon Petroleum,marathonpetroleum,Marathon Petroleum Corp.,Marathon Petroleum
1145,Mowi ASA,asamowilisoni,MARINE HARVEST ASA,Asamo Wilisoni
1146,Markel,markellefultz,Markel Corporation,Verified
1147,Marketaxess Holdings,#marketaxessholdings,MarketAxess Holdings Inc.,2 posts
1148,Marks & Spencer,marksandspencer_id,Marks and Spencer Group p.l.c.,Verified
1149,Marriott International,marriottintl,"Marriott International, Inc.",Verified
1150,Marsh & McLennan,marshandmclennan,Marsh & McLennan Companies,Marsh & McLennan Careers
1151,Marshalls,marshalls,Marshalls PLC,Verified
1152,Martin Marietta Materials,martinmariettamaterials,"Martin Marietta Materials, Inc.",Martin Marietta
1153,Marubeni,#marubeni,Marubeni Corp.,"2,940 posts"
1154,Marvell Technology Group,#marvelltechnologygroup,Marvell Technology Group Ltd.,8 posts
1155,Masco,mascot_bae,Masco Corporation,Maame Enyonam
1156,Masraf Al Rayan,masraf_al_rayan,Masraf Al Rayan (Q.S.C.),Masraf Al Rayan مصرف الريان
1157,Mastercard,mastercard,MasterCard Inc.,Verified
1158,Match Group,thematchgroup,Match Group Inc,The Match Group
1159,MATTEL,mattel,"Mattel, Inc.",Verified
1160,Maxim Integrated Products,Not Verified,"Maxim Integrated Products, Inc.",Not Verified
1161,Mazda Motor,mazdamotorsports,MAZDA MOTOR CORPORATION,Verified
1162,McCain,meghanmccain,McCain Foods Limited,Verified
1163,McCormick,mcandschmicks,"McCormick & Company, Incorporated",Verified
1164,McDonald's,mcdonalds,McDonald's Corporation,Verified
1165,McKesson,mckessoncorporation,McKesson Corporation,McKesson Corporation
1166,McKinsey,mckinseyco,McKinsey & Company,Verified
1167,MediaTek,mediatek_inc,Mediatek Inc.,MediaTek
1168,Medical Properties Trust,#medicalpropertiestrust,"Medical Properties Trust, Inc.",233 posts
1169,Mediobanca,mediobanca,Mediobanca,Mediobanca
1170,Banca Mediolanum,bancamediolanum,Mediolanum,Verified
1171,Medipal Holdings,Not Found,MEDIPAL HOLDINGS CORPORATION,Not Found
1172,Medtronic,medtronic,"Medtronic, Inc.",Medtronic
1173,Mega Financial Holding,BERNAMA,Mega Financial Holding Co. Ltd.,"Wisma Bernama, Jalan Bernama, Off Jalan Tun Razak, Kuala Lumpur, Malaysia"
1174,Meiji Holdings,#meijiholdings,MEIJI Holdings Co Ltd,6 posts
1175,Meituan Dianping,#meituandianping,Meituan Dianping,142 posts
1176,Melrose Industries,melroseindustries,Melrose PLC,melroseindustries
1177,MercadoLibre,mercadolibre.vzla,Mercadolibre Inc.,Verified
1178,Mercantil Servicios,ggserviciosmercantiles,"Mercantil Servicios Financieros, C.A.",G&G Servicios Mercantiles
1179,Merck & Co.,jmercksandco,"Merck & Co., Inc.",J-Mercks & Co
1180,EMD Group,lotusmedgroup,"Merck & Co., Inc.",Lotus Med Group
1181,Mercuries & Associates,J R Moore Associates Counseling & Psychological Services,"MERCURIES & ASSOCIATES,LTD","1600 4th Ave N, Bessemer, Alabama"
1182,Meritz Financial Group,Ard Financial Group,MERITZ FINANCIAL GROUP INC.,"Amar Street, Ungut Hevlel, 2nd Floor, Ulaanbaatar, Mongolia"
1183,Meritz Securities,#meritzsecurities,"MERITZ SECURITIES CO.,LTD",1 post
1184,Merlin Properties SOCIMI S.A,Not Found,Merlin Properties SOCIMI,Not Found
1185,Metallurgical Corp of China,Not Verified,Metallurgical Corp. of China Ltd.,Not Verified
1186,MetLife,mlstadium,"MetLife, Inc.",Verified
1187,Metropolitan Bank & Trust,Metropolitan Bank and Trust Company (Head Office),Metropolitan Bank & Trust Company,"Sen Gil J Puyat Ave, Makati, Philippines"
1188,Mettler-Toledo International,Mettler Toledo,Mettler-Toledo International Inc.,"1900 Polaris Pkwy, Columbus, OH"
1189,MGM Resorts,mgmresortsintl,MGM Resorts International,Verified
1190,MICHAELS COS.,courtneys_daily_smile,"Michaels Stores, Inc.",Michael Costigan Sr.
1191,Michelin Group,michelinyukselgroupp,Michelin,Michelin Yuksel group
1192,Microchip Technology,microchiptechnologyinc,Microchip Technology Incorporated,Microchip Technology Inc.
1193,Xbox,xbox,Microsoft Corporation,Verified
1194,Microsoft,microsoft,Microsoft Corporation,Verified
1195,Mid-america Apartment Communities,Mid America Apartments Comm,"Mid-America Apartment Communities, Inc.","3825 Mapleshade Ln, Plano, TX"
1196,Midea Group,persiana.media,"Midea Group Co., Ltd.",Persiana media group
1197,Migdal Insurance,migdainsurance,Migdal Insurance & Financial Holdings,Migdalia Perez
1198,Banco Comercial Portugues,#bancocomercialportuguês,Millennium Banco Comercial Portugues,2 posts
1199,Mirae Asset Daewoo,miraeassetdaewoo_official,Mirae Asset Daewoo,미래에셋대우
1200,Mitsubishi Chemical,mitsubishichemicalgolf,Mitsubishi Chemical Holdings Corp.,Mitsubishi Chemical Golf
1201,Mitsubishi,mitsubishimotors,Mitsubishi Corp.,Verified
1202,Mitsubishi Electric,mitsubishielectricus,Mitsubishi Electric USA,MitsubishiElectricUS
1203,Mitsubishi Estate,mitsubishi_estate_group,Mitsubishi Estate Company Limited,MITSUBISHI ESTATE GROUP
1204,Mitsubishi Heavy Industries,mitsubishiheavyindustries.leb,Mitsubishi Heavy Industries,Chalian Corporation
1205,Mitsubishi Motors,mitsubishimotors,Mitsubishi Motors Corp.,Verified
1206,Mitsubishi UFJ Lease,#mitsubishiufjlease,Mitsubishi UFJ Lease & Finance,1 post
1207,Mitsui,hotel_the_mitsui_kyoto,Mitsui & Company Limited,HOTEL THE MITSUI KYOTO
1208,Mizrahi Tefahot Bank,#mizrahitefahotbank,Mizrahi Tefahot Bank Ltd.,1 post
1209,Mizuho Financial,#mizuhofinancialgroup,Mizuho Financial Group Inc,23 posts
1210,Moscow Exchange,moscow_exchange,MMVB-RTS OAO,Московская Биржа
1211,Mohawk Industries,mohawkindustriescareers,"Mohawk Industries, Inc.",Mohawk Industries Careers
1212,MOL Hungarian Oil,"MOL Oil & Gas Plant, Makori, Karak, Pakistan",MOL Hungarian Oil and Gas Plc,Makori
1213,Molina Healthcare,molinahealth,"Molina Healthcare, Inc.",Molina Healthcare
1214,Molson Coors Brewing,Molson Coors Brewing Co,Molson Coors Brewing Company,"1801 California St, Denver, CO"
1215,Momentum Metropolitan Holdings,Not Verified,Momentum Metropolitan Holdings Ltd,Not Verified
1216,Mondelez International,mondelez_international,Mondelez International,Mondelēz International
1217,Mondi,edmond_mondi,Mondi PLC,Edmond Barseghian 🇦🇲🇸🇪🇺🇸
1218,Monster Beverage,in_love_with_monster,Monster Beverage Corp,Monster Beverage Corporation™
1219,Moody's,moody.spamzz0nly,Moody's Corp.,Couple moods 2020🥰😌
1220,Morgan Stanley,morgan.stanley,Morgan Stanley,Verified
1221,Motorola Solutions,motorolasolutions,"Motorola, Inc.",Motorola Solutions
1222,Mozilla,mozilla,Mozilla Corporation,Mozilla
1223,MS&AD Insurance,greateastern_lifeinsurance,"MS&AD Insurance Group Holdings, Inc.",Ms. Kanmani ¦Financial advisor
1224,MSCI,mscinnamonfireball,MSCI Inc.,https://youtu.be/SU8oO9SvhYw
1225,MTN Group,Not Verified,MTN Group Limited,Not Verified
1226,MTR,withlovemtr,MTR Corporation Limited,michaela.
1227,MTU Aero Engines AG,International Aero Engineers AG,MTU Aero Engines North America,"Weg beim Jäger 193, Hamburg"
1228,Munich Re,munichre_us,MUENCHENER RUCKVERSICHERUNGS-GES AG,"Munich Re, US"
1229,Murata Manufacturing,muratamanufacturingco.ltd,MURATA MANUFACTURING CO LIMITED,murata_manufacturing_co.ltd.
1230,Murphy Oil,murphyoilfood,Murphy Oil Corporation,Murphy Oil Food Mart
1231,Murphy USA,murphyusa,Murphy USA Inc.,Murphy USA
1232,Musashino Bank,#musashinobank,MUSASHINO BANK,4 posts
1233,Muyuan Foodstuff,#muyuanfoodstuff,Muyuan Foodstuff Co Ltd,3 posts
1234,Mylan,#mylan,Mylan Laboratories Inc.,"32,365 posts"
1235,Bandai Namco Holdings,#bandainamcoholdings,Namco Bandai Holdings Inc,5 posts
1236,Nan Ya Plastics,nanya.plastics,Nan Ya Plastics Corp.,NAN YA Plastics 1st Div.
1237,Nanto Bank,nanto_bank,NANTO BANK,Kittikorn Nanto
1238,NARI Technology Development,Petroleum Technology Development Fund,"NARI Technology Development Co., Ltd.","PTDF Tower, Memorial Close, Central Area,, Abuja, Nigeria"
1239,Naspers,nasperslabs,Naspers Ltd.,Naspers Labs
1240,nab,nabela,National Australia Bank Limited,Verified
1241,National Bank of Canada,nationalbankofcanada,National Bank of Canada,Verified
1242,National Bank of Kuwait,nbkgroup,National Bank Of Kuwait,Verified
1243,National Grid,nationalgrid,National Grid plc,Verified
1244,NATIONAL OILWELL VARCO,#nationaloilwellvarco,National Oilwell Varco,"2,213 posts"
1245,NatWest,natwest,National Westminster Bank Plc (NatWest),Verified
1246,NATIONWIDE,nationwide,"Nationwide Financial Services, Inc.",Verified
1247,Natixis,natixisim,Natixis,Natixis IM
1248,Naturgy Energy Group,#naturgyenergygroup,Naturgy Energy Group SA,36 posts
1249,Naver,naver_webtoon,Naver Corporation,Verified
1250,Navient,fuck_navient,NAVIENT CORPORATION,Fuck Navient
1251,NBC,nbc,NBC Universal,Verified
1252,National Commercial Bank,nationalcommercialbank,NCB,national commercial bank
1253,NCR,ncrc_preschool,NCR Corporation,National Child Research Center
1254,NEC,necessaire,NEC Corporation,Verified
1255,Nedbank,nedbank,Nedbank Group Limited,Verified
1256,Neste,nestletollhouse,Neste Oil OYJ,Verified
1257,Nestle,nestle,Nestle,Verified
1258,Purina,purina,Nestle,Verified
1259,t mobile,tmobile,net mobile AG,Verified
1260,NetApp,netapp,NetApp Inc,NetApp Corp
1261,NetEase,netease.games,Netease.com Inc. ADS,Verified
1262,Netflix,netflix,"Netflix, Inc.",Verified
1263,New China Life Insurance,China Life Insurance 中國人壽台南分公司,New China Life Insurance Co Ltd,EAST DISTRICT
1264,New Hope Liuhe,newhopelihue,"NEW HOPE LIUHE CO., LTD.",New Hope Lihue
1265,New Residential Investment,#newresidentialinvestment,New Residential Investment Corp,5 posts
1266,New World Development,newworlddevelopment,New World Development Company Limited,New World Development
1267,Newcrest Mining,newcrestmininglimited_official,NEWCREST MINING LIMITED,Newcrest Mining Limited
1268,Newell Brands,newellbrands,Newell Rubbermaid Inc.,Verified
1269,Newmont Mining,newmontmining,Newmont Mining Corporation,Newmont Mining
1270,NEXON,nexonamerica,NEXON Co Ltd,Verified
1271,Next,nextstarsoccer,Next PLC,Next Star
1272,NextEra Energy,#nexteraenergy,NextEra Energy,930 posts
1273,Joint Stock Commercial Bank for Foreign Trade of Vietnam,Ngân hàng Á Châu ACB,Ngan Hang Thuong Mai Co Phan Ngoai Thuong Viet Nam,"442 Nguyễn Thị Minh Khai, Phường 5, Quận 3, Thành phố Hồ Chí Minh, Ho Chi Minh City, Vietnam"
1274,Nidec,nidecindustrialsolutions,Nidec,NIDEC
1275,Nike,nike,"NIKE, Inc.",Verified
1276,Nine Dragons Paper Holdings,九龙纸业有限公司 NINE DRAGONS PAPER LTD,NINE DRAGONS PAPER (HOLDINGS) LIMITED,"麻涌镇, Dongguan, Guangdong"
1277,Nintendo,nintendo,NINTENDO CO LTD,Verified
1278,Nippon Life Insurance,reliancenipponlife,Nippon Life Insurance Company (NISSAY),Reliance Nippon Life Insurance
1279,Nippon Paint,nipponpaintsg,Nippon Paint,Verified
1280,Nippon Steel Trading,#nipponsteeltrading,NIPPON STEEL & SUMIKIN BUSSAN CORPORATION,15 posts
1281,Nippon Steel,nippon_steel_baseball,Nippon Steel Corporation,日本製鉄軟式野球部
1282,NTT Group,nttgroup_official,NIPPON TELEGRAPH AND TELEPHONE CORPORATI,Verified
1283,Nippon Telegraph & Tel,Nippon Telegraph & Telephone Corp,Nippon Television Network Corporation,"Graha Aspac Lt 7 Suite 704 , Semarang, Jawa Tengah"
1284,Nippon Yusen,#nipponyusenkaisha,NIPPON YUSEN KABUSHIKI KAISHA,416 posts
1285,NiSource,#nisource,NiSource Inc.,119 posts
1286,Nissan Motor,nissan_motorsport_,NISSAN MOTOR CO LTD,NISMO
1287,Nitori Holdings,#nitoriholdings,Nitori Company Limited,2 posts
1288,Nitto Denko,nitto_aus,NITTO DENKO CORPORATION,Nitto Denko Australia
1289,NN Group,parksfinegroupinc,NN Group N.V.,Alex Park
1290,Nokia,nokia,Nokia Corporation,Verified
1291,Nomura,nomurashuhei.bkk,Nomura Holdings Inc,野村周平
1292,Nomura Research Institute,#nomuraresearchinstitute,Nomura Research Institute,8 posts
1293,Nordea Bank,#nordeabank,Nordea Bank AB,581 posts
1294,Nordstrom,nordstrom,"Nordstrom, Inc.",Verified
1295,Norfolk Southern,norfolksouthern,Norfolk Southern Corporation,NorfolkSouthern
1296,Norilsk Nickel,#norilsknickel,Norilsk Nickel Mining & Metallurgical Co.,"7,208 posts"
1297,Norsk Hydro,norskhydroasa,Norsk Hydro,Norsk Hydro
1298,North Pacific Bank,#northpacificbank,North Pacific Bank,4 posts
1299,Northern Trust,northerntrustcompany,Northern Trust Corporation,Northern Trust
1300,Northrop Grumman,northropgrumman,Northrop Grumman Corporation,Verified
1301,NORTHWESTERN MUTUAL,northwesternmutual,Northwestern Mutual,Verified
1302,NortonLifeLock,nortonlifelock,NortonLifeLock Inc.,NortonLifeLock
1303,Norwegian Cruise Line Holdings,#norwegiancruiselineholdings,Norwegian Cruise Line Holdings Ltd.,162 posts
1304,Novartis,novartis,Novartis AG,Verified
1305,Novatek,novatek_life,Novatek,«НОВАТЭК»
1306,Novo Nordisk,novonordisk,Novo Nordisk,Verified
1307,Novolipetsk Steel,novolipetsk_steel_1998,Novolipetsk Steel Ojsc,Альберт Джамилян
1308,NRG Energy,nrgenergy,"NRG Energy, Inc.",NRG Energy
1309,NTPC,Not Verified,NTPC Limited,Not Verified
1310,Nucor,nucorcorporation,Nucor Corporation,Nucor Corporation
1311,Nuernberger Beteiligungs,Not Found,Nuernberger Beteiligungs-AG,Not Found
1312,Nutrien,nutrienagsolutions,Nutrien Ltd.,Nutrien Ag Solutions
1313,NVIDIA,nvidia,NVIDIA Corporation,Verified
1314,NVR,nvrslps,"NVR, Inc.",Victor Ware
1315,NXP Semiconductors,nxpsemiconductors,NXP Semiconductors,NXP Semiconductors
1316,Tatneft,yan_tatneft,OAO Tatneft,ЯН ПАО “Татнефть ” ⭐️⭐️⭐️⭐️
1317,Obayashi,obayashi_official,Obayashi Corporation,OBAŸASHI
1318,Occidental Petroleum,oxy_petroleum,Occidental Petroleum Corporation,Occidental Petroleum
1319,Offcn Education Technology,Science Education Institute - Department of Science and Technology,"Offcn Education Technology Co., Ltd. Class A","Level 2, Philippine Science Heritage Building, DOST Compound, Bicutan, Taguig, Philippines"
1320,Ogaki Kyoritsu Bank,taka__kb,OGAKI KYORITSU BANK,Ogaki Kyoritsu Bank
1321,Oil & Natural Gas,ongc_,Oil and Natural Gas Corporation,Oil & Natural Gas Corporation
1322,Oji Holdings,Not Verified,OJI Paper Company,Not Verified
1323,Okta,oktaykaynarca,Okta Inc,Verified
1324,Olam International,olam_international,Olam International Limited,Olam International
1325,Old Dominion Freight Line,odfl_inc,"Old Dominion Freight Line, Inc.",Old Dominion Freight Line
1326,Old Mutual,oldmutualsa,Old Mutual PLC,Verified
1327,Olympus,getolympus,OLYMPUS CORPORATION,Verified
1328,Omnicom Group,omnicom,Omnicom Group Inc.,Omnicom Group
1329,OMRON,omronhealthcareus,Omron Corporation,"Omron Healthcare, Inc."
1330,OMV Group,omv,OMV AG,Verified
1331,OneMain Holdings,Not Found,"OneMain Holdings, Inc.",Not Found
1332,Oneok,oneokrockofficial,"ONEOK, Inc.",Verified
1333,Onex,onex_hausdela,Onex Corporation,Onex vom Haus Dela
1334,Ooredoo Q.P.S.C,CentralPlaza Rama 2,Ooredoo Q.P.S.C.,160 ถนนพระราม 2 แขวงแสมดํา เขตบางขุนเทียน
1335,Oracle,oracle,Oracle Corporation,Verified
1336,Orange,orangetheory,Orange S.A.,Verified
1337,O'Reilly Automotive,reillyautomotive,"O'Reilly Automotive, Inc.",Aaron O'Reilly
1338,Orient,orientwatch,Orient Abrasives Ltd,Orient Watch
1339,Orient Securities,#orientsecurities,Orient Securities Corp,5 posts
1340,Oriental Land,oriental_pearl_landmark81,Oriental Land Co. Ltd.,Oriental Pearl Landmark81
1341,Origin Energy,originenergy,Origin Energy Limited,Origin Energy
1342,Orix,orixkee,ORIX CORPORATION,Kee 🌸
1343,Orkla,orlandobloom,Orkla ASA,Verified
1344,Orsted,orsted,Orsted,Verified
1345,Osaka Gas,#osakagas,Osaka Gas Company Limited,377 posts
1346,Oshkosh,oshkoshkids,Oshkosh Corporation,Verified
1347,Otis Worldwide,otisworldwide,OTIS WORLDWIDE CORPORATION,ᴏᴛɪs ᴡᴏʀʟᴅᴡɪᴅᴇ
1348,OTP Bank,otpbankalbania,OTP Bank Rt.,OTP BANK ALBANIA
1349,Otsuka Holding,#otsukaholdings,Otsuka Holding Co. Ltd.,4 posts
1350,Oversea-Chinese Banking,OCBC NISP Tower,Oversea-Chinese Banking Corp.,"Jakarta, Indonesia"
1351,Ovintiv,Not Verified,OVINTIV,Not Verified
1352,Paccar,paccar_parts,PACCAR Inc.,PACCAR Parts
1353,Packaging Corp of America,Packaging Corp of America,Packaging Corporation of America,4240 Bandini Blvd
1354,Palo Alto Networks,paloaltontwks,Palo Alto Networks Inc,Palo Alto Networks
1355,Pan Pacific International Holdings,APRIL Power Plant (Asia Pacific Resources International Holdings),Pan Pacific International Holdings,Pangkalan Kerinci
1356,Panasonic,panasonic,Panasonic Corporation,Verified
1357,Parker-Hannifin,parkerhannifin,Parker Hannifin Corporation,Parker Hannifin
1358,Parkland Fuel,Not Verified,Parkland Fuel Corp,Not Verified
1359,Partners Group Holding,Not Verified,Partners Group Holding AG,Not Verified
1360,Paychex,paychex_inc,"Paychex, Inc.",Verified
1361,Paycom,paycomsoftware,Paycom Software Inc,Verified
1362,PayPal,paypal,"PayPal, Inc.",Verified
1363,Pegatron,pt.pegatrontechnologyindonesia,Pegatron Corp.,PT. Pegatron Technology
1364,Pembina Pipeline,pembinapipeline,Pembina Pipeline Income Fund,Pembina Pipeline Corporation
1365,Penske Automotive,penskecars,"Penske Automotive Group, Inc.",Verified
1366,PEPSICO,pepsico,"PepsiCo, Inc.",Verified
1367,Lay's,lays,"PepsiCo, Inc.",Verified
1368,Gatorade,gatorade,"PepsiCo, Inc.",Verified
1369,PepsiCo,pepsico,"PepsiCo, Inc.",Verified
1370,Pepsi,pepsi,"Pepsi-Cola Products Philippines, Inc",Verified
1371,Pernod Ricard,pernodricard,Pernod Ricard,Verified
1372,Persimmon,persimmon_nailspa,Persimmon PLC,Persimmon
1373,PetroChina,Not Found,Petrochina Company Limited,Not Found
1374,Petrobras,Not Found,Petroleo Brasileiro SA,Not Found
1375,Pemex,pemex,Petroleos Mexicanos,Verified
1376,Petronas,petronas,Petroliam Nasional,Verified
1377,Petronas Chemicals,#petronaschemicals,Petronas Chemicals Group Bhd,278 posts
1378,PetSmart,petsmart,"PetSmart, Inc.",Verified
1379,Chewy,chewy,"PetSmart, Inc.",Verified
1380,Pfizer,pfizerinc,Pfizer Inc.,Verified
1381,PG&E,pgewivesibew1245,PG&E Corporation,PG&E Wives IBEW 1245
1382,PGE Polska Grupa Energetyczna,PGE Polska Grupa Energetyczna,PGE Polska Grupa Energetyczna S.A.,Lipińskiego 138
1383,L&M,lymdominicanhairsalon,Philip Morris International Inc,L&M Dominican Hair Salon
1384,Philip Morris International,iqos.onlineshop,Philip Morris International Inc,Philip morris international
1385,Phillips 66,phillips66co,Phillips 66,Verified
1386,Phoenix Group Holdings,phoenixgroupholding,Phoenix Group Holdings,Phoenix Group Holding SAS
1387,PICC,piccolinadc,Picc Property & Casualty Company Limited,Piccolina DC
1388,Pinduoduo,#pinduoduo,Pinduoduo Inc,"1,481 posts"
1389,Ping An Insurance Group,pinganinsurance,Ping An Insurance (Group) Co. of China Ltd.,Ping An Insurance Group Co
1390,Pinnacle West,pinnaclewest,Pinnacle West Capital Corporation,Pinnacle West Foam & Coatings
1391,Pioneer Natural Resources,pxdinstas,Pioneer Natural Resources Company,Pioneer Natural Resources
1392,Pirelli,pirelli,Pirelli & Co,Verified
1393,Pizza Hut,pizzahut,Pizza Hut,Verified
1394,PNC Financial Services,#pncfinancialservices,PNC Financial Services Group Inc.,6 posts
1395,PKN Orlen,pkn.orlen,Polski Koncern Naftowy ORLEN S.A.,PKN ORLEN
1396,Poly Property Group Co.,Not Verified,Poly (Hong Kong) Investments Ltd.,Not Verified
1397,Poly Real Estate,cal_poly_cpre,"Poly Developments & Holdings Group Co., Ltd. Class A",Cal Poly’s Real Estate Club
1398,Poly Developments & Holdings Group,Polyteck Group,"Poly Developments & Holdings Group Co., Ltd. Class A","143 Leman Street, London, United Kingdom"
1399,Polymetal International,#polymetalinternational,Polymetal International plc,11 posts
1400,Polyus,polyus_theapp,Polyus PJSC,POLY.us THE APP
1401,Porsche Automobil Holding,Not Verified,Porsche Automobil Holding Preference SE,Not Verified
1402,Posco,posco_losco_tats,POSCO,Denis Casella
1403,Postal Savings Bank,#postalsavingsbank,POSTAL SAVINGS BANK of CHINA Co Ltd,152 posts
1404,China Post,scmpnews,POSTAL SAVINGS BANK of CHINA Co Ltd,Verified
