company,username,esg_company
Purina,,Nestle
t mobile,,net mobile AG
NetApp,,NetApp Inc
NetEase,,Netease.com Inc. ADS
Netflix,netflix,"Netflix, Inc."
New China Life Insurance,,New China Life Insurance Co Ltd
New Hope Liuhe,,"NEW HOPE LIUHE CO., LTD."
New Residential Investment,,New Residential Investment Corp
New World Development,,New World Development Company Limited
Newcrest Mining,,NEWCREST MINING LIMITED
Newell Brands,newellbrands,Newell Rubbermaid Inc.
Newmont Mining,,Newmont Mining Corporation
NEXON,,NEXON Co Ltd
Next,,Next PLC
NextEra Energy,,NextEra Energy
Joint Stock Commercial Bank for Foreign Trade of Vietnam,,Ngan Hang Thuong Mai Co Phan Ngoai Thuong Viet Nam
Nidec,,Nidec
Nike,nike,"NIKE, Inc."
Nine Dragons Paper Holdings,,NINE DRAGONS PAPER (HOLDINGS) LIMITED
Nintendo,,NINTENDO CO LTD
Nippon Life Insurance,,Nippon Life Insurance Company (NISSAY)
Nippon Paint,,Nippon Paint
Nippon Steel Trading,,NIPPON STEEL & SUMIKIN BUSSAN CORPORATION
Nippon Steel,,Nippon Steel Corporation
NTT Group,,NIPPON TELEGRAPH AND TELEPHONE CORPORATI
Nippon Telegraph & Tel,,Nippon Television Network Corporation
Nippon Yusen,,NIPPON YUSEN KABUSHIKI KAISHA
NiSource,,NiSource Inc.
Nissan Motor,,NISSAN MOTOR CO LTD
Nitori Holdings,,Nitori Company Limited
Nitto Denko,,NITTO DENKO CORPORATION
NN Group,,NN Group N.V.
Nokia,,Nokia Corporation
Nomura,,Nomura Holdings Inc
Nomura Research Institute,,Nomura Research Institute
Nordea Bank,,Nordea Bank AB
Nordstrom,nordstrom,"Nordstrom, Inc."
Norfolk Southern,,Norfolk Southern Corporation
Norilsk Nickel,,Norilsk Nickel Mining & Metallurgical Co.
Norsk Hydro,,Norsk Hydro
North Pacific Bank,,North Pacific Bank
Northern Trust,,Northern Trust Corporation
Northrop Grumman,northropgrumman,Northrop Grumman Corporation
NORTHWESTERN MUTUAL,northwesternmutual,Northwestern Mutual
NortonLifeLock,,NortonLifeLock Inc.
Norwegian Cruise Line Holdings,,Norwegian Cruise Line Holdings Ltd.
Novartis,,Novartis AG
Novatek,,Novatek
Novo Nordisk,,Novo Nordisk
Novolipetsk Steel,,Novolipetsk Steel Ojsc
NRG Energy,,"NRG Energy, Inc."
NTPC,,NTPC Limited
Nucor,,Nucor Corporation
Nuernberger Beteiligungs,,Nuernberger Beteiligungs-AG
Nutrien,,Nutrien Ltd.
NVIDIA,nvidia,NVIDIA Corporation
NVR,,"NVR, Inc."
NXP Semiconductors,,NXP Semiconductors
Tatneft,,OAO Tatneft
Obayashi,,Obayashi Corporation
Occidental Petroleum,,Occidental Petroleum Corporation
Offcn Education Technology,,"Offcn Education Technology Co., Ltd. Class A"
Ogaki Kyoritsu Bank,,OGAKI KYORITSU BANK
Oil & Natural Gas,,Oil and Natural Gas Corporation
Oji Holdings,,OJI Paper Company
Okta,,Okta Inc
Olam International,,Olam International Limited
Old Dominion Freight Line,,"Old Dominion Freight Line, Inc."
Old Mutual,,Old Mutual PLC
Olympus,,OLYMPUS CORPORATION
Omnicom Group,,Omnicom Group Inc.
OMRON,,Omron Corporation
OMV Group,,OMV AG
OneMain Holdings,,"OneMain Holdings, Inc."
Oneok,,"ONEOK, Inc."
Onex,,Onex Corporation
Ooredoo Q.P.S.C,,Ooredoo Q.P.S.C.
Oracle,oracle,Oracle Corporation
Orange,,Orange S.A.
O'Reilly Automotive,,"O'Reilly Automotive, Inc."
Orient,,Orient Abrasives Ltd
Orient Securities,,Orient Securities Corp
Oriental Land,,Oriental Land Co. Ltd.
Origin Energy,,Origin Energy Limited
Orix,,ORIX CORPORATION
Orkla,,Orkla ASA
Orsted,,Orsted
Osaka Gas,,Osaka Gas Company Limited
Oshkosh,,Oshkosh Corporation
Otis Worldwide,,OTIS WORLDWIDE CORPORATION
OTP Bank,,OTP Bank Rt.
Otsuka Holding,,Otsuka Holding Co. Ltd.
Oversea-Chinese Banking,,Oversea-Chinese Banking Corp.
Ovintiv,,OVINTIV
Paccar,,PACCAR Inc.
Packaging Corp of America,,Packaging Corporation of America
Palo Alto Networks,,Palo Alto Networks Inc
Pan Pacific International Holdings,,Pan Pacific International Holdings
Panasonic,,Panasonic Corporation
Parker-Hannifin,,Parker Hannifin Corporation
Parkland Fuel,,Parkland Fuel Corp
Partners Group Holding,,Partners Group Holding AG
Paychex,,"Paychex, Inc."
Paycom,,Paycom Software Inc
PayPal,paypal,"PayPal, Inc."
Pegatron,,Pegatron Corp.
Pembina Pipeline,,Pembina Pipeline Income Fund
Penske Automotive,penskecars,"Penske Automotive Group, Inc."
PEPSICO,pepsico,"PepsiCo, Inc."
Lay's,pepsico,"PepsiCo, Inc."
Gatorade,pepsico,"PepsiCo, Inc."
PepsiCo,pepsico,"PepsiCo, Inc."
Pepsi,,"Pepsi-Cola Products Philippines, Inc"
Pernod Ricard,,Pernod Ricard
Persimmon,,Persimmon PLC
PetroChina,,Petrochina Company Limited
Petrobras,,Petroleo Brasileiro SA
Pemex,,Petroleos Mexicanos
Petronas,,Petroliam Nasional
Petronas Chemicals,,Petronas Chemicals Group Bhd
PetSmart,,"PetSmart, Inc."
Chewy,,"PetSmart, Inc."
Pfizer,pfizerinc,Pfizer Inc.
PG&E,,PG&E Corporation
PGE Polska Grupa Energetyczna,,PGE Polska Grupa Energetyczna S.A.
L&M,,Philip Morris International Inc
Philip Morris International,,Philip Morris International Inc
Phillips 66,phillips66co,Phillips 66
Phoenix Group Holdings,,Phoenix Group Holdings
PICC,,Picc Property & Casualty Company Limited
Pinduoduo,,Pinduoduo Inc
Ping An Insurance Group,,Ping An Insurance (Group) Co. of China Ltd.
Pinnacle West,,Pinnacle West Capital Corporation
Pioneer Natural Resources,,Pioneer Natural Resources Company
Pirelli,,Pirelli & Co
Pizza Hut,,Pizza Hut
PNC Financial Services,pncbank,PNC Financial Services Group Inc.
PKN Orlen,,Polski Koncern Naftowy ORLEN S.A.
Poly Property Group Co.,,Poly (Hong Kong) Investments Ltd.
Poly Real Estate,,"Poly Developments & Holdings Group Co., Ltd. Class A"
Poly Developments & Holdings Group,,"Poly Developments & Holdings Group Co., Ltd. Class A"
Polymetal International,,Polymetal International plc
Polyus,,Polyus PJSC
Porsche Automobil Holding,,Porsche Automobil Holding Preference SE
Posco,,POSCO
Postal Savings Bank,,POSTAL SAVINGS BANK of CHINA Co Ltd
China Post,,POSTAL SAVINGS BANK of CHINA Co Ltd
Postal Savings Bank Of China (PSBC),,POSTAL SAVINGS BANK of CHINA Co Ltd
Poste Italiane,,Poste Italiane
Pou Chen,,Pou Chen Corp.
Power Assets Holdings,,Power Assets Holdings Limited
Power Construction Corporation of China,,"Power Construction Corporation of China, Ltd."
Power Corp of Canada,,Power Corporation of Canada
Power Finance,,Power Finance Corp. Ltd.
Power Grid of India,,Power Grid Corp. Of India Limited
POWERCHINA,,PowerChina Resources Ltd (PCR)
PPG,,"PPG Industries, Inc."
PPL,,PPL Corporation
prada,,Prada
Principal Financial Group,,"Principal Financial Group, Inc."
Gillette,,Procter & Gamble Company
Pantene,,Procter & Gamble Company
Procter & Gamble,proctergamble,Procter & Gamble Company
Progressive,progressive,Progressive Corporation
Prologis,,Prologis
Prosperity Bancshares,,"Prosperity Bancshares, Inc."
Prudential,,"Prudential Financial, Inc."
Prudential (UK),,Prudential PLC
Prysmian,,Prysmian S.p.A.
Peugeot,,PSA Peugeot Citroen
Gudang Garam,,PT Gudang Garam Tbk
Telkom Indonesia,,PT Telekomunikasi Indonesia
PTT,,PTT CHEMICAL PUBLIC COMPANY LIMITED
Public Bank,,Public Bank Bhd
Public Service Enterprise Group,,Public Service Enterprise Group Incorporated
Public Storage,,"Public Storage, Inc."
Publicis Groupe,,Publicis Groupe SA
Publix,publix,"Publix Super Markets, Inc."
PulteGroup,,"Pulte Homes, Inc."
Punjab National Bank,,PUNJAB NATIONAL BANK
Qantas Airways,,Qantas Airways
Qatar Islamic Bank,,Qatar Islamic Bank SAQ
Qatar National Bank,,Qatar National Bank SAQ
QBE Insurance Group,,QBE
Haier Smart Home,,Qingdao Haier Company Limited
Qualcomm,qualcomm,QUALCOMM Incorporated
Quanta Computer,,Quanta Computer Inc.
Quanta Services,,"Quanta Services, Inc."
Quest Diagnostics,,Quest Diagnostics Incorporated
Quilter,,QUILTER PLC
Quinenco,,Quinenco S.A.
Rabobank,,Rabobank Nederland N.V.
Raiffeisen Bank International,,Raiffeisen International Bank Holding AG
Rakuten,,Rakuten Inc
Ralph Lauren,ralphlauren,Ralph Lauren Corporation
Randstad N.V.,,Randstad Holding NV
Raymond James Financial,,"Raymond James Financial, Inc."
Raytheon,,Raytheon Company
Raytheon Technologies,,Raytheon Technologies
Realty Income,,Realty Income Corporation
Reckitt Benckiser Group,,Reckitt Benckiser
rei,,Recreational Equipment Inc.
Recruit Holdings,,Recruit Holdings
Red Bull,,Red Bull
Red Eléctrica,,Red Electrica De Espana
Red Star Macalline Group,,Red Star Holdings Ltd
Regeneron Pharmaceuticals,,"Regeneron Pharmaceuticals, Inc."
Regions Financial,regionsfinancial,Regions Financial Corporation
Reinsurance Group of America,,"Reinsurance Group of America, Incorporated"
Reliance,,Reliance Capital Ltd.
Reliance Industries,,Reliance Industries Limited
Reliance Steel,,Reliance Steel & Aluminum Co.
RELX,,RELX PLC
RenaissanceRe Holdings,,RenaissanceRe Holdings Ltd.
Renault,,Renault SA
Repsol,,Repsol YPF
Republic Services,,"Republic Services, Inc."
ResMed,,ResMed Inc.
Resona Holdings,,Resona Holdings Inc
Rexel,,REXEL S.A.
RHB Bank,,RHB Capital Berhad
Ricoh,,"RICOH COMPANY, LTD"
RingCentral,,RingCentral Inc
Rio Tinto,,Rio Tinto
RiseSun Real Estate Development,,"Risesun Real Estate Development Co., Ltd"
RITE AID,riteaid,Rite Aid Corporation
Riyad Bank,,Riyad Bank
Roche Holding,,Roche Holdings Limited
Rockwell Automation,rokautomation,"Rockwell Automation, Inc."
Rogers Communications,,Rogers Communications Inc.
Roku,,"ROKU, INC."
Rolex,,Rolex
Rolls-Royce Holdings,,Rolls-Royce Group PLC
Rongsheng Petrochemical,,Rongsheng Petrochemical Co Ltd
Roper Technologies,,"Roper Industries, Inc."
Rosseti,,Rosetti Marino SpA
Rosneft,,Rosneft Oil Ojsc
Ross Stores,,"Ross Stores, Inc."
Royal Ahold Delhaize N.V.,,Royal Ahold
RBC,,Royal Bank of Canada
Royal Bank of Scotland,,Royal Bank of Scotland Group
Royal Caribbean Cruises,,Royal Caribbean Cruises Ltd.
Shell,,Royal Dutch Shell
Royal Dutch Shell,,Royal Dutch Shell
RSA Insurance Group,,RSA Insurance Group plc
Innogy,,RWE AG
Ryanair Holdings,,RYANAIR HOLDINGS PLC
S&P Global,,S&P Global Inc
S.F. Holding,,S.F. Holding
Falabella,,Saci Falabella
Safran,,Safran SA
SAIC Motor,,SAIC Motor Corporation Limited
St. James's Place,,Saint James's Place PLC
Saint-Gobain,,Saint-Gobain Corporation
Saipem,,Saipem SpA
Salesforce.com,,"Salesforce.com, Inc."
Samba Financial Group,,Samba Financial Group
Sampo,,Sampo OYJ
Samsung C&T,,Samsung C&T Corporation
Samsung Electronics,,Samsung Electronics Company Limited
Samsung Fire & Marine,,"Samsung Fire & Marine Insurance Co., Ltd."
Samsung Life Insurance,,SAMSUNG LIFE INSURANCE CO. LTD.
Samsung SDI,,"Samsung SDI Co., Ltd."
Samsung SDS,,"Samsung SDS Co., Ltd."
Samsung Securities,,"Samsung Securities Co., Ltd."
Sandvik,,Sandvik AB
San-In Godo Bank,,SAN-IN GODO BK
Sanlam,,Sanlam Limited
Sanofi,,Sanofi
Santos,,Santos Ltd
Sany Heavy Industry,,Sany Heavy Industry Co. Ltd.
SAP,,SAP AG
Saputo,,Saputo Inc
Sartorius,,Sartorius AG
Sasol,,Sasol Ltd.
Saudi Arabian Mining,,Saudi Arabian Mining Company (Ma'aden)
Saudi Arabian Oil Company (Saudi Aramco),,Saudi Aramco
Saudi Basic Industries,,Saudi Basic Industries Corp
Saudi Electricity,,Saudi Electricity Company
Saudi Telecom,,Saudi Telecom Company
SBA Communications,,SBA Communications Corporation
Sberbank,,Sberbank Rossia
SBI Holdings,,SBI Holdings Inc
Scentre Group,,SCENTRE GROUP
Schaeffler,,Schaeffler Technologies GmbH & Co KG
Schindler Holding,,Schindler
Schlumberger,,Schlumberger Limited
Schneider Electric,,Schneider Electric
Schroders,,Schroders PLC
Scor,,Scor SE
SSE,,Scottish & Southern Energy PLC
SDIC Power Holdings,,"SDIC Power Holdings Co., Ltd."
Seagate Technology,,Seagate Technology
PWC,,PricewaterhouseCoopers
WELLCARE HEALTH PLANS,wellcare,Wellcare Health Plans Inc.
LyondellBasell Industries,,LyondellBasell Industries
Times Property Holdings,,Times Property Holdings LTD
People's United Financial,,People's United Financial Inc.
Bombardier,,Bombardier Inc
Square,,Square Inc
Wayfair,,Wayfair Inc
American National Insurance,,American National Insurance Company
Essex Property Trust,,"Essex Property Trust, Inc."
Sonova Holding,,Sonova Holding AG
Korean Air,,"Korean Air Lines Co., Ltd."
Mitsubishi Materials,,Searching…
Antofagasta,,Searching…
Compal Electronics,,Searching…
Blom Bank,,Searching…
Safaricom,,Searching…
Fgl Holdings,,Searching…
KT&G,,Searching…
BOK Financial,,Searching…
Voestalpine,,Searching…
Sichuan Language Development,,Searching…
Wendel,,Searching…
Banca MPS,,Searching…
Jabil Circuit,,Searching…
AVIC Capita,,Searching…
PTT Global Chemical,,Searching…
Xiamen Xiangyu,,Searching…
Commercial Bank of Qatar,,Searching…
Barry Callebaut,,Searching…
NH Investment & Securities,,Searching…
Industries Qatar,,Searching…
Alfresa Holdings,,Searching…
Hertz Global Holdings,,Searching…
Hokuhoku Financial Group,,Searching…
Ramsay Health Care,,Searching…
Autodesk,,Searching…
ONO Pharmaceutical,,Searching…
President Chain Store,,Searching…
Lendlease Group,,Searching…
Wirecard,,Searching…
CSPC Pharmaceutical Group,,Searching…
World Fuel Services,,Searching…
Vietin Bank,,Searching…
Mitsui Chemicals,,Searching…
RTL Group,,Searching…
Qurate Retail Group,,Searching…
Zoom Video Communications,,Searching…
Novozymes,,Searching…
Dexus,,Searching…
Virgin Money UK,,Searching…
Gap,,Searching…
New York Community Bancorp,,Searching…
Canadian Utilities,,Searching…
Nippon Express,,Searching…
Otsuka,,Searching…
Koito Manufacturing,,Searching…
Teck Resources,,Searching…
Hansoh Pharmaceutical Group,,Searching…
Agnico Eagle Mines,,Searching…
Showa Denko,,Searching…
Cellnex Telecom,,Searching…
Qingdao Rural Commercial Bank,,Searching…
Continental Resources,,Searching…
Avis Budget Group,,Searching…
Kyushu Financial Group,,Searching…
Nishi-nippon Financial Holdings,,Searching…
Hachijuni Bank,,Searching…
Zoomlion Heavy Industry,,Searching…
Hulic,,Searching…
Waters,,Searching…
Yamaguchi Financial,,Searching…
Wistron,,Searching…
Hengyi Petrochemical,,Searching…
Latam Airlines,,Searching…
Kesko,,Searching…
Hengan International Group,,Searching…
Wingtech Technology,,Searching…
Japan Securities,,Searching…
Acciona,,Searching…
China Longyuan Power,,Searching…
Adyen,,Searching…
Bank of Kyoto,,Searching…
Mitsui OSK Lines,,Searching…
Hiroshima Bank,,Searching…
WEG,,Searching…
Rajesh Exports,,Searching…
Sino Biopharmaceutical,,Searching…
Renesas Electronics,,Searching…
Kinross Gold,,Searching…
Unisplendour,,Searching…
Steinhoff International,,Searching…
Teradyne,,Searching…
"United Natural Foods,",,Searching…
PBF Energy,,Searching…
Chugoku Bank,,Searching…
LG Uplus,,Searching…
Royal Mail,,Searching…
77 Bank,,Searching…
Shandong Gold Mining,,Searching…
Powerlong Real Estate,,Searching…
Gunma Bank,,Searching…
Invitation Homes,,Searching…
FMC,,Searching…
Tenneco,,Searching…
Tokyu Fudosan,,Searching…
Haidilao International Holding,,Searching…
Performance Food Group,,Searching…
Domino's Pizza,,Searching…
Hubei Biocause Pharmaceutical,,Searching…
National Bank of Greece,,Searching…
Zebra Technologies,,Searching…
Tsim Sha Tsui Properties,,Searching…
Alpha Bank,,Searching…
Community Health Systems,,Searching…
Rite Aid,,Searching…
Xylem,,Searching…
IHI,,Searching…
Bank Muscat,,Searching…
Accor,,Searching…
American Equity Investment,,Searching…
Iyo Bank,,Searching…
Lens Technology,,Searching…
TP ICAP,,Searching…
XCMG Construction Machinery,,Searching…
Air Lease,,Searching…
Commerce Bank,,Searching…
Grupo Bolivar,,Searching…
Bank of Suzhou,,Searching…
Sinotruk Hong Kong,,Searching…
Harel Insurance Investments & Financial Services,,Searching…
Avary Holding (Shenzhen),,Searching…
Liberty Broadband,,Searching…
Jiangxi Bank,,Searching…
Unibail-Rodamco,,Searching…
CPI Property Group,,Searching…
Daelim Industrial,,Searching…
Minebea,,Searching…
PVH,,Searching…
News Corp,,Searching…
JetBlue Airways,,Searching…
SDIC Capital,,Searching…
Sears Holdings,sears,Sears Holdings Corporation
Seattle Genetics,,"Seattle Genetics, Inc."
Seazen Group,,Seazen Group Ltd.
Secom,,Secom Company Limited
Securitas,,Securitas
Segro,,Segro PLC
Sekisui Chemical,,SEKISUI CHEMICAL CO LTD
Sekisui House,,Sekisui House Limited
Semiconductor Manufacturing International,,Semiconductor Manufacturing International Corporation
Sempra Energy,,Sempra Energy
Senshu Ikeda Holdings,,"Senshu Ikeda Holdings, Inc."
Sephora,,Sephora
ServiceNow,,"ServiceNow, Inc."
Seven & I Holdings,,Seven & I Holdings Company Limited
Severstal,,Severstal
SFR,,SFR
SG Holdings,,"SG HOLDINGS CO.,LTD."
SGS,,SGS
Shaanxi Coal Industry,,"Shaanxi Coal Industry Co., Ltd."
Shanghai Commercial & Savings Bank,,Shanghai Commercial Bank
Shanghai Construction,,"Shanghai Construction Group Co., Ltd."
Shanghai Electric Group,,Shanghai Electric Group Co. Ltd.
Shanghai Ganglian E-Commerce Holdings,,Shanghai Ganglian E-Commerce Holdings Co Ltd
Shanghai International Airport,,"Shanghai International Airport Co.,Ltd."
Shanghai International Port,,"Shanghai International Port (Group) Co., Ltd."
Shanghai Pharmaceuticals,,Shanghai Pharmaceuticals Holding Co. Ltd.
Shanghai Pudong Development,,Shanghai Pudong Development Bank Co. Ltd.
Sharp,,Sharp Corporation
Shaw Communications,,Shaw Communications Inc.
Shengjing Bank,,"Shengjing Bank Co., Ltd"
Shenwan Hongyuan Group,,"Shenwan Hongyuan Group CO., LTD"
Shenzhen Goodix Technology,,"Shenzhen Goodix Technology Co., Ltd."
Shenzhen Mindray Bio-Medical Electronics,,Shenzhen Mindray Bio-Medl Elctrnc Co Ltd
Shenzhen Overseas,,"Shenzhen Overseas Chinese Town Holding Co., Ltd."
Shenzhou International Group Holdings,,Shenzhou International Group Holdings Ltd.
Shiga Bank,,SHIGA BANK
Shimano,,Shimano Inc
Shimao Property Holdings,,Shimao Property Holdings Ltd.
Shimizu,,SHIMIZU CORPORATION
Shin Kong Financial,,"Shin Kong Financial Holding Co., Ltd."
Shin-Etsu Chemical,,Shin-Etsu Chemical Company Limited
Shinhan Financial Group,,Shinhan Financial Group Co. Ltd.
Shinsei Bank,,Shinsei Bank Limited
Shionogi,,Shionogi Limited
Shiseido,,Shiseido Company Limited
Shopify,,Shopify Inc
Siemens,,Siemens AG
Signature Bank,,Signature Bank
Sika,,Sika
Simon Property Group,,"Simon Property Group, Inc."
Sinclair Oil,,Sinclair Oil Corporation
Singapore Airlines,,Singapore Airlines
SingTel,,Singapore Telecommunications Limited
Sino-Ocean Group Holding,,Sino-Ocean Land Holdings Limited
SinoPac Financial,,SinoPac Holdings Co. Ltd.
Sinopharm Group,,Sinopharm Group Co. Ltd.
SiriusXM,,SiriusXM Holdings Inc.
Sistema,,SISTEMA JSFC
360 Security Technology,,SJEC Corp
SK Group,,SK Chemicals Co. Ltd.
SK Innovation,,SK Energy Company Limited
SK Holdings,,"SK Holdings Co., Ltd."
SK Telecom,,"SK Telecom Co., Ltd."
Skanska,,Skanska AB
SKF Group,,SKF AB
Skyworks Solutions,,"Skyworks Solutions, Inc."
Slack Technologies,,Slack Technologies Inc
SLM,,SLM Corporation (Sallie Mae)
SM Investments,,SM Investments Corporation
SMC,,SMC Corporation
Smith & Nephew,,"Smith & Nephew, Inc."
Smurfit Kappa Group,,Smurfit Kappa Group plc
Snam,,Snam Rete Gas
Snap,,Snap Inc
Snap-on,,Snap-on Incorporated
Société Générale,,Societe Generale - Corporate & Invesment Banking
Sodexo,,"Sodexo, Inc."
Sofina,,Sofina SA
Softbank,,SOFTBANK CORPORATION
S-Oil,,S-Oil Corporation
Sojitz,,Sojitz Corp
Mosaic,,Solar Mosaic
Solvay,,Solvay SA
Sompo Japan Nipponkoa,,"Sompo Holdings, Inc"
Sompo,,Sompo Japan Insurance
Sony,,Sony Corporation
Southern Company,,Southern Company
Southwest Airlines,southwestair,Southwest Airlines Co.
Spectrum,,Spectrum
Spirit AeroSystems,spiritairlines,Spirit AeroSystems Holdings Inc.
Splunk,,Splunk Inc.
spotify,,Spotify Technology SA
Spotify Technology,,Spotify Technology SA
Sprint,,Sprint Nextel Corporation
SS&C Technologies,,"SS&C Technologies Holdings, Inc."
Standard Bank Group,,Standard Bank Group Ltd.
Stanley Black & Decker,stanleyblackdecker,Stanley Black & Decker Inc.
STAPLES,staples,"Staples, Inc."
Starbucks,starbucks,Starbucks Corporation
Starwood Property Trust,,Starwood Property Trust Inc
State Bank of India,,State Bank of India Group
State Farm,,State Farm Insurance
State Grid,,State Grid
State Street,,State Street Corporation
Steel Authority of India,,Steel Authority of India Limited
Steel Dynamics,,"Steel Dynamics, Inc."
Steris,,STERIS Corporation
Stifel Financial,,Stifel Financial Corp.
STMicroelectronics,,"STMicroelectronics, Inc."
INTL FCStone,,StoneX
Stora Enso,,Stora Enso OYJ
Storebrand,,Storebrand ASA
STRABAG,,Strabag SE
Stryker,,Stryker
Subaru,,Subaru
Sumitomo Chemical,,Sumitomo Chemical Company Limited
Sumitomo,,Sumitomo Corporation
Sumitomo Electric,,SUMITOMO ELECTRIC INDUSTRIES LIMITED
Sumitomo Metal Mining,,SUMITOMO METAL MINING CO LTD
Sumitomo Mitsui Financial,,Sumitomo Mitsui Financial Group
Sumitomo Mitsui Trust,,Sumitomo Mitsui Trust Bank
Sumitomo Realty,,Sumitomo Realty & Development Company Li
Sun Art Retail Group,,SUN ART RETAIL GROUP LTD
Sun Hung Kai Properties,,Sun Hung Kai Properties Limited
Sun Life Financial,,Sun Life Financial Inc.
Sunac China Holdings,,Sunac China Holdings Limited
Suncor Energy,,Suncor Energy Inc.
Suncorp Group,,Suncorp-Metway Limited
Suning.com,,"Suning.com Co., Ltd."
Sunny Optical Technology Group,,Sunny Optical Technology (Group) Company Limited
Suntory Beverage & Food,,Suntory Beverage & Food Ltd
SUPERVALU,supervalu_irl,Supervalu Inc.
Surgutneftegas,,Surgutneftegaz
Suzano Papel e Celulose,,Suzano Papel E Celulose SA
Suzuken,,Suzuken Company Limited
Suzuki Motor,,Suzuki Motor Corp.
SVB Financial Group,,SVB Capital Partners
SCA,,Svenska Cellulosa B
Svenska Handelsbanken,,Svenska Handelsbanken AB
Swedbank,,Swedbank AB
Swedish Match,,Swedish Match AB
Swire Pacific,,Swire Pacific Limited
Swiss Life Holding,,SWISS LIFE HOLDING
Swiss Prime Site,,Swiss Prime Site AG
Swiss Re,,Swiss Reinsurance Company
Swisscom,,Swisscom
Synchrony Financial,,SYNCHRONY FINANCIAL
SYNNEX,,SYNNEX Corporation
Synopsys,,"Synopsys, Inc."
Synovus Financial,,Synovus Financial Corp.
Sysco,,SYSCO Corporation
Sysmex,,Sysmex
T&D Holdings,,T&D HOLDINGS INCORPORATED
T Rowe Price,,"T. Rowe Price Group, Inc."
Taco Bell,,Taco Bell
Tahoe Group,,"TAHOE GROUP CO., LTD"
Taisei,,Taisei Corp
Taishin Financial Holdings,,Taishin Financial Holding Co. Ltd.
Taiwan Business Bank,,Taiwan Business Bank
Taiwan Cement,,Taiwan Cement Corp.
Taiwan Cooperative Financial,,Taiwan Cooperative Bank
Taiwan Semiconductor,,Taiwan Semiconductor Manufacturing Company Ltd.
Takeda Pharmaceutical,,Takeda Pharmaceutical Company
Take-Two Interactive Software,,"Take-Two Interactive Software, Inc."
Talanx,,Talanx Group
COACH,,"Tapestry, Inc"
Targa Resources,,Targa Resources Corp.
Target,target,Target Corporation
Tata Consultancy Services,,Tata Consultancy Services
TATA Group,,Tata Group
Tata Motors,,Tata Motors Limited
Tata Steel,,Tata Steel Ltd.
Taylor Wimpey,,Taylor Wimpey
TC Energy,,TC Energy Corporation
TCF Financial,,TCF Financial Corporation
TCL,,TCL Corporation
TD Ameritrade Holding,,TD Ameritrade
TDK,,TDK Corporation
TE Connectivity,,TE Connectivity Ltd.
Tech Data,,Tech Data Corporation
Tech Mahindra,,Tech Mahindra Ltd.
Techtronic Industries,,Techtronic Industries Company Limited
Telecom Italia,,Telecom Italia
Teledyne Technologies,,Teledyne Technologies Inc.
Teleflex,,Teleflex Incorporated
Movistar,,Telefonica SA
Telenor,,Telenor ASA
Teleperformance,,Teleperformance
Telia Company,,TeliaSonera
Telstra,,Telstra
TELUS,,TELUS Corporation
ST Engineering,,TEMASEK HOLDINGS (PRIVATE) LIMITED
Tenaga Nasional,,Tenaga Nasional Bhd
Tenaris,,Tenaris
Tencent Holdings,,Tencent Holdings Limited
Tenet Healthcare,,Tenet Healthcare Corporation
Terna,,Terna Spa
Ternium,,TERNIUM S.A.
Terumo,,TERUMO CORPORATION
Tesco,,Tesco PLC
Tesla,teslamotors,"Tesla Motors, Inc."
Teva Pharmaceutical,,Teva Pharmaceuticals
Texas Instruments,txinstruments,Texas Instruments Incorporated
Textron,,Textron Inc.
Thai Beverage,,Thai Beverage PLC
Thales,,Thales SA
Allstate,allstate,The Allstate Corporation
Bank of East Asia,,The Bank of East Asia
Bank of New York Mellon,,The Bank of New York Mellon
Scotiabank,,The Bank of Nova Scotia
Boeing,,The Boeing Company
Clorox,clorox,The Clorox Company
Coca-Cola,cocacola,The Coca-Cola Company
Fresh Market,,"The Fresh Market, Inc."
Goldman Sachs Group,goldmansachs,"The Goldman Sachs Group, Inc."
Goodyear,goodyear,The Goodyear Tire & Rubber Company
Hartford Financial Services,,"The Hartford Financial Services Group, Inc."
Hershey,hersheys,The Hershey Company
Kiyo Bank,,"The Kiyo Bank, Ltd."
Kraft Heinz Company,,The Kraft Heinz Company
NASDAQ,,"The Nasdaq Stock Market, Inc."
OFFICE DEPOT,officedepot,The ODP Corporation
Saudi British Bank,,The Saudi British Bank
Sherwin-Williams,sherwinwilliams,The Sherwin-Williams Company
Shizuoka Bank,,The Shizuoka Bank Limited
Siam Cement,,The Siam Cement Public Company Limited
Siam Commercial Bank,,The Siam Commercial Bank Public Company Limited
Swatch Group,,The Swatch Group Ltd
TJX Cos,,"The TJX Companies, Inc."
Toho Bank,,"The Toho Bank, Ltd."
TD Bank Group,,The Toronto-Dominion Bank
Travelers,,"The Travelers Companies, Inc."
Walt Disney,disney,The Walt Disney Company
Western Union,westernunion,The Western Union Company
Williams,,"The Williams Companies, Inc."
Thermo Fisher Scientific,thermofisherscientific,Thermo Fisher Scientific
Thomson Reuters,,Thomson Reuters Corporation
ThyssenKrupp Group,,ThyssenKrupp AG
TIAA,tiaa,TIAA-CREF
HNA Technology,,Tianjin Marine Shipping Co Ltd
Tiffany & Co.,,Tiffany & Co.
Tim Hortons,,Tim Hortons
Restaurant Brands International,,Tim Hortons
Tingyi Holding,,Tingyi Cayman Islands Holdings
TMB Bank,,TMB Bank PCL
Tohoku Electric Power,,Tohoku Electric Power Company Inc
